,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
3146,Brooklyn,Entire home/apt,94,10,46,0.72,1,0
3147,Manhattan,Entire home/apt,145,1,0,0.0,1,0
3148,Manhattan,Entire home/apt,199,2,240,3.49,1,152
3149,Brooklyn,Entire home/apt,150,1,0,0.0,1,0
3150,Manhattan,Private room,85,3,134,1.96,1,108
3151,Manhattan,Entire home/apt,195,4,31,0.46,1,78
3152,Manhattan,Entire home/apt,173,5,143,2.13,1,144
3153,Brooklyn,Entire home/apt,159,10,5,0.07,52,346
3154,Brooklyn,Private room,85,3,92,1.57,1,123
3155,Brooklyn,Entire home/apt,120,3,207,3.04,1,237
3156,Manhattan,Entire home/apt,225,3,1,0.05,1,0
3157,Brooklyn,Entire home/apt,175,2,111,2.4,2,108
3158,Manhattan,Private room,130,2,128,1.88,1,294
3159,Manhattan,Entire home/apt,249,10,0,0.0,1,363
3160,Brooklyn,Private room,38,5,72,1.11,5,349
3161,Brooklyn,Private room,53,1,38,0.55,1,312
3162,Manhattan,Private room,125,4,108,1.69,1,285
3163,Manhattan,Entire home/apt,245,1,0,0.0,1,0
3164,Brooklyn,Entire home/apt,150,9,0,0.0,1,0
3165,Brooklyn,Private room,32,5,85,1.25,5,155
3166,Manhattan,Entire home/apt,160,3,158,2.33,1,188
3167,Brooklyn,Entire home/apt,175,1,0,0.0,1,0
3168,Brooklyn,Private room,40,7,0,0.0,1,331
3169,Brooklyn,Private room,58,1,236,3.45,3,350
3170,Brooklyn,Entire home/apt,149,2,20,0.31,1,355
3171,Manhattan,Entire home/apt,200,3,35,0.55,1,0
3172,Brooklyn,Entire home/apt,100,4,10,0.24,1,0
3173,Brooklyn,Private room,50,2,6,0.12,1,0
3174,Brooklyn,Entire home/apt,97,5,44,1.5,1,66
3175,Manhattan,Private room,84,2,143,2.13,1,311
3177,Manhattan,Entire home/apt,99,2,249,3.63,1,172
3178,Brooklyn,Entire home/apt,70,5,2,0.06,1,26
3179,Brooklyn,Entire home/apt,149,10,7,0.11,52,340
3181,Brooklyn,Entire home/apt,145,3,266,4.49,1,224
3182,Brooklyn,Private room,200,2,0,0.0,1,365
3183,Brooklyn,Private room,59,1,238,3.46,3,320
3184,Brooklyn,Private room,70,3,30,0.6,1,364
3185,Manhattan,Entire home/apt,249,4,26,0.62,1,281
3186,Brooklyn,Entire home/apt,70,4,26,0.39,1,81
3187,Queens,Private room,45,5,70,2.23,4,250
3188,Manhattan,Private room,75,1,202,3.19,1,0
3189,Brooklyn,Private room,70,6,1,0.04,2,0
3190,Brooklyn,Entire home/apt,159,1,15,0.22,2,194
3192,Brooklyn,Private room,55,1,227,3.31,3,341
3193,Manhattan,Private room,228,1,2,0.22,2,365
3194,Brooklyn,Private room,67,5,17,0.25,5,308
3195,Manhattan,Private room,119,3,1,0.01,1,0
3196,Manhattan,Entire home/apt,189,1,7,0.13,1,0
3199,Brooklyn,Private room,45,10,12,0.18,3,337
3200,Manhattan,Entire home/apt,175,10,2,0.04,1,342
3201,Brooklyn,Entire home/apt,83,7,2,0.03,1,0
3202,Brooklyn,Entire home/apt,120,1,2,0.03,1,0
3203,Brooklyn,Private room,35,10,7,0.15,2,318
3204,Manhattan,Entire home/apt,140,2,322,4.71,1,258
3205,Manhattan,Private room,45,4,7,2.26,1,32
3206,Manhattan,Private room,90,3,7,0.11,1,310
3207,Queens,Private room,79,1,108,2.68,3,313
3208,Brooklyn,Private room,100,3,15,0.22,1,0
3209,Manhattan,Entire home/apt,225,2,0,0.0,1,17
3210,Queens,Private room,66,5,95,1.39,2,301
3211,Brooklyn,Entire home/apt,140,3,123,1.8,3,244
3212,Brooklyn,Private room,98,4,245,3.61,1,247
3213,Brooklyn,Entire home/apt,140,3,156,2.36,2,230
3214,Manhattan,Entire home/apt,195,2,71,1.04,1,222
3215,Manhattan,Private room,60,1,245,3.6,3,336
3216,Brooklyn,Entire home/apt,150,5,11,0.16,1,0
3217,Queens,Private room,40,10,8,0.12,3,0
3218,Queens,Entire home/apt,130,4,17,0.25,1,347
3219,Brooklyn,Private room,75,3,1,0.02,1,0
3220,Brooklyn,Entire home/apt,248,3,57,0.9,1,344
3222,Brooklyn,Entire home/apt,120,10,29,0.43,1,0
3224,Manhattan,Private room,80,1,1,0.02,1,0
3225,Manhattan,Entire home/apt,140,5,17,0.25,2,2
3226,Brooklyn,Entire home/apt,120,3,5,0.26,1,0
3227,Manhattan,Shared room,45,3,229,3.36,2,312
3228,Brooklyn,Private room,100,1,1,0.02,2,44
3229,Brooklyn,Entire home/apt,175,2,52,1.26,1,264
3230,Brooklyn,Entire home/apt,130,1,16,0.38,2,0
3231,Manhattan,Entire home/apt,175,3,9,0.13,1,0
3232,Manhattan,Private room,40,1,0,0.0,1,0
3234,Manhattan,Private room,85,4,29,0.42,1,13
3235,Manhattan,Private room,175,10,20,0.31,1,83
3236,Manhattan,Private room,105,4,10,0.2,1,0
3237,Brooklyn,Private room,80,10,5,0.07,1,0
3238,Brooklyn,Entire home/apt,150,7,37,0.6,1,39
3239,Bronx,Entire home/apt,195,5,1,0.02,1,0
3241,Manhattan,Entire home/apt,249,2,230,3.39,2,166
3242,Brooklyn,Entire home/apt,140,7,1,0.03,1,0
3243,Brooklyn,Entire home/apt,180,2,72,3.12,1,290
3244,Manhattan,Private room,90,3,1,0.02,3,177
3245,Bronx,Entire home/apt,120,3,84,1.26,1,16
3246,Queens,Entire home/apt,85,2,97,1.43,1,230
3247,Manhattan,Entire home/apt,174,3,177,2.62,3,165
3248,Manhattan,Entire home/apt,150,10,2,0.04,1,203
3250,Queens,Entire home/apt,180,3,77,1.35,1,254
3251,Manhattan,Entire home/apt,172,1,18,0.27,1,0
3252,Brooklyn,Entire home/apt,130,5,36,0.53,1,224
3253,Manhattan,Private room,52,7,19,0.28,8,324
3254,Brooklyn,Entire home/apt,220,1,2,0.03,1,0
3255,Manhattan,Private room,50,10,0,0.0,5,356
3256,Brooklyn,Private room,37,10,16,0.24,3,179
3257,Manhattan,Private room,85,2,36,0.53,1,288
3258,Brooklyn,Entire home/apt,249,3,76,1.13,1,40
3259,Brooklyn,Entire home/apt,150,10,10,0.21,1,0
3260,Brooklyn,Entire home/apt,119,6,7,0.25,1,0
3261,Brooklyn,Entire home/apt,49,7,0,0.0,3,0
3262,Manhattan,Private room,90,4,57,2.67,1,74
3263,Manhattan,Entire home/apt,200,4,4,0.06,1,0
3264,Brooklyn,Entire home/apt,97,3,177,2.64,1,272
3266,Brooklyn,Entire home/apt,151,5,39,0.58,2,0
3267,Manhattan,Entire home/apt,200,5,0,0.0,1,0
3268,Manhattan,Entire home/apt,200,3,41,0.6,1,0
3269,Queens,Entire home/apt,82,5,2,0.03,1,0
3270,Manhattan,Entire home/apt,130,1,87,1.42,1,5
3271,Brooklyn,Private room,69,2,12,0.18,1,6
3272,Queens,Entire home/apt,150,1,89,1.32,1,148
3273,Manhattan,Entire home/apt,150,4,0,0.0,1,0
3274,Manhattan,Entire home/apt,150,2,221,3.3,1,215
3275,Manhattan,Entire home/apt,100,3,2,0.03,1,0
3276,Manhattan,Entire home/apt,195,4,30,0.45,1,4
3278,Brooklyn,Entire home/apt,200,1,1,0.02,1,320
3279,Brooklyn,Entire home/apt,100,6,5,0.07,1,0
3280,Bronx,Entire home/apt,140,10,16,0.24,1,365
3281,Manhattan,Entire home/apt,146,10,34,0.5,1,0
3284,Brooklyn,Private room,80,10,0,0.0,1,0
3285,Brooklyn,Entire home/apt,80,3,225,3.49,2,250
3286,Manhattan,Entire home/apt,220,2,85,1.27,1,305
3287,Manhattan,Private room,102,2,6,0.13,4,0
3288,Manhattan,Entire home/apt,120,5,8,0.12,1,0
3289,Manhattan,Entire home/apt,170,2,7,0.11,1,312
3290,Manhattan,Entire home/apt,235,1,0,0.0,1,0
3291,Manhattan,Entire home/apt,149,1,1,0.03,1,0
3292,Brooklyn,Entire home/apt,180,3,6,0.13,1,0
3293,Brooklyn,Private room,89,1,25,0.43,1,78
3294,Brooklyn,Entire home/apt,199,2,31,0.52,2,220
3295,Brooklyn,Private room,72,5,62,1.05,6,140
3296,Brooklyn,Entire home/apt,80,7,6,0.12,1,3
3297,Manhattan,Private room,99,3,160,2.36,1,133
3298,Brooklyn,Entire home/apt,125,10,26,0.38,1,264
3299,Manhattan,Private room,150,1,157,2.49,1,365
3300,Brooklyn,Entire home/apt,100,10,0,0.0,1,0
3301,Manhattan,Private room,106,2,191,2.81,1,291
3303,Manhattan,Private room,150,2,7,0.12,1,0
3304,Brooklyn,Private room,100,3,15,0.24,1,358
3305,Manhattan,Entire home/apt,189,3,9,0.87,1,0
3307,Manhattan,Entire home/apt,120,1,73,1.07,1,49
3308,Brooklyn,Private room,100,4,3,0.05,2,0
3309,Brooklyn,Entire home/apt,149,10,7,0.11,52,277
3311,Manhattan,Private room,100,1,1,0.01,1,0
3313,Brooklyn,Private room,33,5,84,1.25,5,295
3314,Brooklyn,Entire home/apt,175,1,0,0.0,1,0
3315,Manhattan,Entire home/apt,142,1,214,3.17,1,242
3316,Queens,Entire home/apt,135,3,38,0.62,1,243
3317,Brooklyn,Entire home/apt,135,3,164,2.45,1,325
3319,Brooklyn,Entire home/apt,80,5,19,0.28,1,0
3320,Manhattan,Private room,80,3,38,0.59,1,344
3321,Manhattan,Private room,87,2,272,4.02,3,133
3324,Brooklyn,Entire home/apt,150,2,43,0.64,1,285
3325,Brooklyn,Private room,50,5,3,0.16,1,0
3326,Brooklyn,Private room,79,3,176,2.63,1,37
3327,Brooklyn,Private room,60,1,93,1.38,15,305
3328,Queens,Private room,45,3,49,0.77,3,307
3329,Manhattan,Entire home/apt,120,2,5,0.07,1,0
3330,Manhattan,Entire home/apt,145,3,1,0.01,1,0
3331,Manhattan,Entire home/apt,175,3,136,2.0,1,171
3332,Manhattan,Entire home/apt,137,7,6,0.11,1,0
3334,Manhattan,Private room,86,4,37,0.97,1,22
3335,Brooklyn,Entire home/apt,90,3,0,0.0,1,0
3337,Manhattan,Entire home/apt,150,1,0,0.0,1,0
3339,Brooklyn,Entire home/apt,105,4,2,0.03,1,0
3340,Brooklyn,Entire home/apt,130,2,15,0.41,1,0
3341,Manhattan,Private room,90,3,97,2.39,3,332
3342,Brooklyn,Entire home/apt,150,3,154,2.27,1,218
3343,Brooklyn,Entire home/apt,150,4,42,0.62,2,0
3344,Manhattan,Entire home/apt,225,3,127,1.89,3,157
3346,Brooklyn,Private room,80,10,4,0.08,2,254
3347,Brooklyn,Entire home/apt,150,1,3,0.04,1,0
3348,Manhattan,Private room,120,1,12,0.19,2,206
3349,Bronx,Private room,53,2,143,2.13,1,263
3350,Brooklyn,Entire home/apt,115,10,4,0.07,1,47
3351,Brooklyn,Shared room,175,1,7,0.1,1,0
3352,Manhattan,Entire home/apt,150,1,5,0.08,1,0
3353,Manhattan,Entire home/apt,162,2,18,0.26,1,247
3354,Manhattan,Private room,95,4,9,0.13,1,0
3355,Manhattan,Private room,55,2,19,0.79,2,0
3356,Manhattan,Entire home/apt,117,5,221,3.27,2,163
3357,Manhattan,Entire home/apt,175,2,4,0.12,1,0
3358,Queens,Entire home/apt,75,10,64,0.95,1,178
3359,Manhattan,Entire home/apt,189,5,220,3.25,2,271
3360,Manhattan,Entire home/apt,150,2,7,0.18,1,0
3361,Manhattan,Private room,45,2,36,0.57,2,188
3362,Brooklyn,Entire home/apt,190,2,237,3.7,1,266
3363,Brooklyn,Entire home/apt,130,5,9,0.13,1,0
3364,Brooklyn,Private room,79,1,13,0.49,2,315
3366,Brooklyn,Entire home/apt,150,5,68,1.07,1,202
3367,Brooklyn,Entire home/apt,100,2,100,1.49,1,280
3368,Manhattan,Entire home/apt,115,1,78,1.81,1,93
3370,Manhattan,Entire home/apt,159,7,0,0.0,1,0
3372,Manhattan,Private room,39,10,26,0.42,3,155
3374,Brooklyn,Entire home/apt,200,4,20,0.3,1,279
3376,Manhattan,Entire home/apt,120,6,4,0.06,1,0
3377,Manhattan,Private room,105,1,31,0.46,2,365
3378,Queens,Entire home/apt,100,3,1,0.05,1,0
3379,Manhattan,Entire home/apt,175,4,0,0.0,1,0
3381,Manhattan,Entire home/apt,120,5,0,0.0,1,0
3382,Brooklyn,Private room,85,2,7,0.11,1,207
3384,Queens,Entire home/apt,149,3,19,0.56,2,291
3386,Queens,Private room,72,3,26,0.41,2,307
3388,Manhattan,Entire home/apt,115,7,57,0.89,1,125
3390,Brooklyn,Private room,32,1,111,1.7,5,208
3391,Manhattan,Private room,100,3,11,0.16,1,0
3392,Manhattan,Entire home/apt,150,4,12,0.2,1,0
3393,Manhattan,Entire home/apt,95,4,72,1.1,1,11
3395,Brooklyn,Private room,30,1,67,0.99,5,150
3396,Brooklyn,Entire home/apt,75,4,1,0.01,1,0
3397,Manhattan,Entire home/apt,140,5,25,0.37,1,13
3399,Queens,Entire home/apt,100,1,2,0.03,2,0
3400,Manhattan,Private room,80,10,89,1.4,1,146
3401,Brooklyn,Entire home/apt,125,3,1,0.03,1,0
3403,Brooklyn,Private room,50,2,2,0.5,1,35
3405,Manhattan,Entire home/apt,100,2,11,0.16,1,0
3407,Brooklyn,Private room,79,1,89,1.39,3,310
3408,Manhattan,Entire home/apt,100,7,0,0.0,1,0
3409,Brooklyn,Private room,52,2,203,3.13,1,323
3410,Manhattan,Private room,98,4,67,1.09,3,102
3411,Brooklyn,Entire home/apt,120,2,3,0.04,1,0
3412,Brooklyn,Private room,40,10,0,0.0,1,0
3414,Queens,Private room,50,1,1,0.04,1,0
3415,Brooklyn,Private room,45,7,0,0.0,1,0
3418,Brooklyn,Private room,57,2,199,2.98,1,265
3419,Brooklyn,Entire home/apt,120,2,4,0.06,1,42
3421,Manhattan,Entire home/apt,125,5,54,0.9,2,274
3422,Manhattan,Entire home/apt,145,3,58,0.97,1,0
3423,Manhattan,Entire home/apt,150,1,0,0.0,1,0
3424,Brooklyn,Private room,89,10,13,0.19,1,101
3425,Brooklyn,Entire home/apt,164,1,200,3.37,2,208
3426,Brooklyn,Entire home/apt,210,1,215,3.2,2,224
3427,Manhattan,Private room,115,7,1,0.02,2,0
3428,Manhattan,Entire home/apt,110,10,21,0.31,1,0
3429,Manhattan,Entire home/apt,199,5,8,0.12,1,9
3431,Manhattan,Private room,75,7,7,0.12,3,328
3432,Manhattan,Private room,69,10,42,0.62,1,84
3433,Manhattan,Private room,179,1,1,0.01,1,0
3434,Manhattan,Entire home/apt,106,7,3,0.09,1,4
3436,Manhattan,Private room,100,2,0,0.0,1,0
3437,Brooklyn,Private room,60,2,226,3.42,2,164
3438,Manhattan,Entire home/apt,120,7,3,0.04,1,0
3439,Bronx,Entire home/apt,80,1,1,0.02,1,0
3440,Manhattan,Private room,75,10,42,0.67,26,345
3441,Queens,Private room,35,7,0,0.0,1,0
3442,Brooklyn,Entire home/apt,88,2,14,0.21,1,16
3443,Queens,Private room,50,1,0,0.0,1,0
3444,Manhattan,Private room,45,4,19,0.31,8,42
3445,Manhattan,Entire home/apt,75,3,2,0.08,1,0
3446,Manhattan,Private room,79,2,2,0.06,2,0
3447,Queens,Private room,55,10,6,0.1,1,255
3448,Brooklyn,Private room,45,1,17,0.55,1,354
3449,Brooklyn,Private room,85,10,0,0.0,1,0
3450,Brooklyn,Private room,80,3,130,2.0,3,220
3452,Brooklyn,Entire home/apt,110,3,3,0.05,1,0
3453,Manhattan,Entire home/apt,199,2,177,2.85,2,112
3454,Brooklyn,Private room,94,2,129,2.22,1,188
3456,Brooklyn,Private room,60,7,5,0.14,1,3
3457,Manhattan,Entire home/apt,175,2,31,0.46,1,33
3458,Brooklyn,Entire home/apt,200,5,0,0.0,1,0
3459,Manhattan,Private room,100,5,2,0.06,1,0
3460,Brooklyn,Entire home/apt,50,3,9,0.13,1,0
3461,Manhattan,Entire home/apt,175,3,0,0.0,1,0
3462,Brooklyn,Entire home/apt,199,10,8,0.14,52,308
3463,Brooklyn,Private room,54,4,4,0.06,1,0
3464,Brooklyn,Entire home/apt,130,4,8,0.12,1,0
3465,Brooklyn,Entire home/apt,151,2,43,0.65,1,220
3466,Manhattan,Entire home/apt,80,1,1,0.02,1,0
3467,Manhattan,Entire home/apt,110,8,5,0.07,1,333
3468,Brooklyn,Entire home/apt,60,3,14,0.21,1,0
3469,Brooklyn,Entire home/apt,110,10,58,0.92,1,282
3470,Brooklyn,Private room,73,2,19,0.28,1,0
3471,Brooklyn,Entire home/apt,177,3,209,3.11,2,237
3472,Queens,Entire home/apt,90,10,6,0.09,1,0
3473,Manhattan,Entire home/apt,190,1,2,0.04,1,0
3474,Brooklyn,Entire home/apt,105,5,1,0.02,1,0
3475,Manhattan,Entire home/apt,150,10,1,0.01,1,35
3476,Bronx,Private room,65,4,26,0.85,2,7
3477,Brooklyn,Private room,35,1,2,0.03,1,0
3479,Brooklyn,Entire home/apt,185,2,10,0.2,1,0
3480,Manhattan,Entire home/apt,150,10,54,0.86,1,153
3481,Brooklyn,Private room,100,1,0,0.0,1,220
3483,Manhattan,Private room,128,1,16,0.75,1,0
3485,Manhattan,Entire home/apt,169,3,2,0.03,1,0
3486,Manhattan,Private room,109,7,130,3.38,1,78
3487,Brooklyn,Entire home/apt,99,4,74,1.93,1,261
3488,Queens,Entire home/apt,130,5,0,0.0,1,0
3489,Manhattan,Entire home/apt,239,4,52,0.82,1,84
3490,Brooklyn,Entire home/apt,100,10,17,0.25,1,0
3491,Brooklyn,Entire home/apt,124,4,52,0.8,1,147
3492,Brooklyn,Private room,69,1,64,0.96,3,362
3493,Brooklyn,Entire home/apt,180,2,0,0.0,1,0
3494,Brooklyn,Entire home/apt,225,2,28,0.55,1,0
3495,Manhattan,Entire home/apt,119,2,3,0.04,1,0
3496,Manhattan,Entire home/apt,220,7,55,1.12,1,13
3497,Brooklyn,Entire home/apt,150,4,6,0.1,2,0
3498,Brooklyn,Private room,75,1,0,0.0,1,188
3499,Brooklyn,Private room,51,3,19,0.32,4,0
3500,Manhattan,Entire home/apt,150,9,9,0.13,1,0
3501,Brooklyn,Private room,91,1,9,0.14,1,0
3502,Manhattan,Entire home/apt,139,10,20,0.31,19,219
3503,Brooklyn,Entire home/apt,100,4,45,1.01,1,190
3504,Queens,Private room,60,1,275,4.64,2,329
3506,Queens,Entire home/apt,94,7,27,0.4,1,0
3507,Manhattan,Entire home/apt,179,2,21,0.31,1,0
3508,Manhattan,Entire home/apt,135,4,105,1.56,1,267
3509,Brooklyn,Private room,50,5,77,1.14,1,33
3511,Manhattan,Entire home/apt,150,10,26,0.41,1,269
3513,Manhattan,Private room,150,3,10,0.16,1,42
3514,Manhattan,Entire home/apt,175,1,0,0.0,1,0
3515,Brooklyn,Entire home/apt,170,2,24,0.38,1,0
3517,Brooklyn,Private room,30,3,2,0.03,1,0
3518,Brooklyn,Entire home/apt,150,1,19,0.28,1,0
3519,Manhattan,Entire home/apt,140,3,2,0.07,1,0
3520,Manhattan,Entire home/apt,200,10,1,0.02,1,365
3522,Manhattan,Entire home/apt,240,4,0,0.0,1,0
3523,Queens,Entire home/apt,99,2,57,0.89,1,42
3524,Manhattan,Entire home/apt,195,3,3,0.21,1,0
3525,Manhattan,Private room,89,2,10,0.32,2,0
3526,Brooklyn,Private room,65,3,87,1.37,2,305
3527,Manhattan,Entire home/apt,156,1,0,0.0,1,0
3528,Manhattan,Private room,120,1,0,0.0,1,0
3530,Brooklyn,Entire home/apt,210,3,7,0.1,2,343
3531,Brooklyn,Entire home/apt,159,10,5,0.14,52,338
3532,Brooklyn,Private room,55,3,70,1.11,2,285
3533,Brooklyn,Entire home/apt,129,10,4,0.06,52,322
3535,Brooklyn,Private room,79,1,20,0.32,2,285
3536,Brooklyn,Private room,100,4,0,0.0,2,0
3538,Queens,Entire home/apt,64,3,7,0.69,1,333
3539,Brooklyn,Private room,110,10,72,1.07,1,42
3540,Manhattan,Private room,55,10,66,1.12,1,17
3541,Brooklyn,Private room,55,5,8,0.21,1,270
3542,Brooklyn,Private room,75,5,0,0.0,1,0
3543,Brooklyn,Private room,70,1,0,0.0,2,0
3544,Manhattan,Shared room,85,2,16,0.25,1,0
3545,Brooklyn,Entire home/apt,130,10,16,0.26,1,217
3546,Brooklyn,Private room,120,7,0,0.0,3,0
3547,Brooklyn,Entire home/apt,50,10,4,0.06,1,0
3548,Manhattan,Entire home/apt,100,1,205,3.05,1,1
3549,Manhattan,Entire home/apt,145,2,4,0.06,1,0
3550,Brooklyn,Private room,100,5,44,1.68,1,41
3551,Manhattan,Entire home/apt,200,1,4,0.06,1,0
3552,Manhattan,Entire home/apt,80,1,353,5.26,1,258
3553,Manhattan,Entire home/apt,200,6,4,0.06,2,364
3555,Queens,Entire home/apt,120,3,80,1.74,2,69
3556,Manhattan,Private room,180,3,191,3.29,1,161
3558,Brooklyn,Private room,33,1,98,1.55,5,0
3559,Brooklyn,Private room,60,4,0,0.0,2,0
3560,Brooklyn,Entire home/apt,199,10,4,0.07,52,365
3561,Brooklyn,Entire home/apt,149,10,4,0.06,52,343
3562,Manhattan,Entire home/apt,150,1,0,0.0,1,0
3563,Manhattan,Entire home/apt,98,8,37,0.59,1,170
3565,Brooklyn,Private room,60,1,4,0.06,1,0
3566,Brooklyn,Entire home/apt,149,2,49,0.73,1,171
3567,Brooklyn,Private room,95,5,0,0.0,1,0
3568,Brooklyn,Entire home/apt,85,3,122,1.93,1,41
3569,Manhattan,Entire home/apt,90,3,23,0.36,1,0
3570,Queens,Private room,47,5,11,0.16,3,162
3571,Manhattan,Entire home/apt,180,10,16,0.25,39,337
3572,Manhattan,Private room,110,3,1,0.04,1,0
3573,Brooklyn,Entire home/apt,170,2,131,2.02,1,26
3574,Manhattan,Entire home/apt,210,5,25,0.42,1,0
3576,Queens,Entire home/apt,65,2,162,2.45,1,302
3577,Brooklyn,Private room,60,7,0,0.0,1,365
3578,Manhattan,Entire home/apt,225,2,14,0.29,1,0
3579,Brooklyn,Entire home/apt,200,7,0,0.0,1,0
3580,Brooklyn,Entire home/apt,170,3,125,1.86,2,314
3581,Manhattan,Private room,62,2,4,0.19,2,336
3582,Manhattan,Entire home/apt,125,2,8,0.13,1,0
3583,Manhattan,Private room,106,1,1,0.02,1,0
3584,Manhattan,Private room,93,2,138,2.23,1,7
3585,Manhattan,Private room,85,5,44,0.77,1,299
3587,Manhattan,Entire home/apt,224,2,12,0.21,1,0
3588,Brooklyn,Private room,145,1,52,0.82,1,291
3589,Brooklyn,Private room,40,1,1,0.01,1,0
3590,Manhattan,Private room,135,2,150,2.42,3,98
3591,Manhattan,Private room,97,3,177,2.69,1,58
3592,Manhattan,Private room,69,10,43,0.65,2,90
3593,Brooklyn,Entire home/apt,225,4,233,3.55,1,89
3595,Manhattan,Entire home/apt,215,3,2,0.04,1,0
3596,Brooklyn,Private room,99,2,8,0.25,2,88
3599,Queens,Private room,60,1,10,0.16,2,184
3602,Brooklyn,Entire home/apt,111,3,104,1.65,1,261
3603,Brooklyn,Private room,60,10,10,0.15,1,92
3605,Brooklyn,Entire home/apt,112,10,314,4.82,2,42
3606,Brooklyn,Entire home/apt,185,2,159,3.2,1,348
3607,Queens,Private room,100,10,37,0.57,1,305
3608,Brooklyn,Entire home/apt,150,1,1,0.02,1,0
3609,Manhattan,Private room,130,5,98,1.73,1,48
3610,Brooklyn,Entire home/apt,130,5,9,0.18,1,0
3612,Brooklyn,Entire home/apt,125,5,2,0.32,1,196
3613,Manhattan,Entire home/apt,190,4,216,3.34,1,55
3614,Brooklyn,Private room,70,3,40,0.63,1,365
3616,Brooklyn,Private room,80,3,90,1.39,1,199
3617,Manhattan,Entire home/apt,99,1,0,0.0,1,0
3618,Manhattan,Entire home/apt,100,6,29,0.47,1,128
3619,Manhattan,Entire home/apt,200,10,2,0.05,1,339
3620,Manhattan,Private room,60,2,13,0.45,1,33
3621,Brooklyn,Private room,100,2,13,0.36,1,365
3623,Manhattan,Private room,90,3,82,1.29,1,0
3624,Brooklyn,Private room,61,4,3,0.06,1,0
3625,Brooklyn,Private room,99,1,0,0.0,1,0
3626,Queens,Private room,100,7,14,0.24,1,365
3628,Brooklyn,Private room,75,2,183,3.03,3,154
3629,Brooklyn,Entire home/apt,130,10,6,0.17,1,39
3630,Brooklyn,Entire home/apt,140,2,6,0.1,1,0
3631,Manhattan,Entire home/apt,112,3,22,0.34,1,313
3632,Manhattan,Entire home/apt,160,3,25,0.4,1,0
3633,Manhattan,Entire home/apt,165,3,142,2.27,2,301
3634,Manhattan,Private room,80,10,8,0.12,3,301
3638,Manhattan,Entire home/apt,160,4,8,0.12,1,0
3640,Brooklyn,Entire home/apt,150,2,94,2.55,1,144
3642,Manhattan,Entire home/apt,100,10,0,0.0,1,0
3643,Manhattan,Private room,49,2,79,1.22,3,52
3645,Manhattan,Entire home/apt,150,5,9,0.15,1,6
3647,Manhattan,Private room,79,1,259,3.93,1,2
3648,Manhattan,Entire home/apt,225,2,46,0.8,1,320
3649,Brooklyn,Private room,90,2,145,2.26,1,250
3652,Brooklyn,Private room,55,2,1,0.16,2,157
3653,Manhattan,Entire home/apt,80,5,81,1.26,1,315
3654,Manhattan,Private room,90,1,271,4.32,1,281
3656,Manhattan,Private room,55,7,9,0.14,1,0
3657,Manhattan,Private room,208,2,38,0.6,1,313
3658,Manhattan,Entire home/apt,156,1,8,0.15,3,300
3659,Brooklyn,Entire home/apt,85,4,9,0.22,1,1
3660,Brooklyn,Entire home/apt,200,2,4,0.06,1,0
3661,Manhattan,Entire home/apt,180,2,2,0.03,1,0
3664,Manhattan,Entire home/apt,140,3,0,0.0,1,0
3665,Manhattan,Entire home/apt,160,6,65,1.19,1,7
3666,Manhattan,Private room,130,1,59,1.0,1,0
3667,Manhattan,Private room,110,1,136,3.1,1,63
3668,Manhattan,Entire home/apt,150,2,120,3.25,1,29
3669,Manhattan,Private room,149,2,121,2.06,2,270
3671,Manhattan,Entire home/apt,215,3,9,0.27,1,0
3672,Manhattan,Entire home/apt,155,1,21,0.38,1,0
3673,Brooklyn,Private room,50,3,3,0.07,1,0
3674,Brooklyn,Entire home/apt,225,5,0,0.0,1,0
3675,Manhattan,Private room,65,2,2,0.05,2,114
3676,Brooklyn,Entire home/apt,112,4,138,2.21,1,248
3678,Brooklyn,Private room,65,4,8,0.19,2,19
3679,Brooklyn,Entire home/apt,159,10,0,0.0,52,349
3680,Manhattan,Entire home/apt,99,1,153,2.39,4,327
3682,Brooklyn,Private room,145,1,0,0.0,1,0
3683,Manhattan,Entire home/apt,185,7,19,0.31,1,0
3685,Brooklyn,Private room,45,2,26,0.68,2,241
3686,Manhattan,Entire home/apt,60,1,0,0.0,1,0
3688,Manhattan,Private room,55,2,17,0.27,2,34
3690,Manhattan,Entire home/apt,165,7,1,1.0,1,8
3692,Manhattan,Entire home/apt,220,3,20,0.32,1,31
3693,Bronx,Private room,75,2,11,0.2,1,365
3694,Brooklyn,Entire home/apt,120,5,11,0.27,1,2
3698,Brooklyn,Entire home/apt,100,3,10,0.15,1,10
3699,Manhattan,Private room,95,1,4,0.11,1,270
3701,Manhattan,Private room,119,2,146,2.21,2,265
3703,Manhattan,Entire home/apt,200,1,28,0.45,1,341
3704,Brooklyn,Shared room,48,1,146,2.21,1,0
3705,Manhattan,Shared room,30,10,125,1.88,1,304
3706,Queens,Entire home/apt,65,4,2,0.03,1,0
3707,Queens,Private room,79,10,15,0.29,2,238
3708,Manhattan,Entire home/apt,105,7,22,0.46,1,121
3711,Brooklyn,Entire home/apt,95,5,1,0.05,1,0
3713,Manhattan,Entire home/apt,100,1,0,0.0,1,0
3715,Manhattan,Entire home/apt,180,2,2,0.03,1,0
3717,Brooklyn,Entire home/apt,40,2,0,0.0,2,0
3718,Brooklyn,Entire home/apt,45,2,28,0.43,2,0
